14,0.423,0,14,2,0,17,Plymouth,USA,1986-08-31,MN,5.0,1.0,2004.0,Blake,77,8471218,0,1,Wheeler,Blake Wheeler,USA,R,R,WPG,225,-3,16,1.1428,0,10,20182019,0,0,24.6428,0.0476,42,1281.5714
14,0.0,0,16,2,0,12,Toronto,CAN,1983-10-03,ON,,,,Mark,73,8470966,0,1,Giordano,Mark Giordano,CAN,D,L,CGY,200,9,16,1.0,0,5,20182019,0,0,29.625,0.0363,55,1492.25
7,0.4166,1,15,8,1,6,Farmington Hills,USA,1997-12-18,MI,39.0,2.0,2016.0,Alex,67,8479337,0,1,DeBrincat,Alex DeBrincat,USA,L,R,CHI,165,-1,15,1.0,1,2,20182019,0,0,21.4666,0.1739,46,1071.8
8,0.5653,1,14,7,1,2,Cole Harbour,CAN,1987-08-07,NS,1.0,1.0,2005.0,Sidney,71,8471675,0,1,Crosby,Sidney Crosby,CAN,C,L,PIT,200,5,15,1.0714,2,5,20182019,0,0,24.5714,0.1666,42,1220.8571
9,0.5302,0,15,6,0,14,Waterford,USA,1996-07-30,MI,15.0,1.0,2014.0,Dylan,73,8477946,0,1,Larkin,Dylan Larkin,USA,C,L,DET,198,-6,15,1.0,1,3,20182019,2,3,26.3333,0.1276,47,1240.2
11,0.5318,0,15,4,0,2,Haliburton,CAN,1991-01-16,ON,3.0,1.0,2009.0,Matt,71,8475168,0,1,Duchene,Matt Duchene,CAN,C,L,OTT,195,0,15,1.0,1,2,20182019,0,0,23.6,0.1428,28,1130.3333
11,0.25,1,15,4,0,6,Kladno,CZE,1989-08-15,,7.0,1.0,2007.0,Jakub,74,8474161,0,1,Voracek,Jakub Voracek,CZE,R,L,PHI,214,-4,15,1.0,1,4,20182019,0,0,23.2666,0.1025,39,1115.4
12,0.3636,1,14,3,1,6,Bowmanville,CAN,1989-10-02,ON,9.0,1.0,2008.0,Josh,73,8474573,0,1,Bailey,Josh Bailey,CAN,R,L,NYI,212,7,15,1.0714,2,7,20182019,1,1,21.5,0.12,25,1065.1428
12,0.4,0,13,3,0,10,Calgary,CAN,1991-11-14,AB,1.0,1.0,2010.0,Taylor,73,8475791,0,1,Hall,Taylor Hall,CAN,L,L,NJD,205,-4,15,1.1538,0,10,20182019,0,0,21.923,0.0697,43,1186.0769
13,0.5763,0,15,2,0,14,Vancouver,CAN,1992-07-31,BC,4.0,1.0,2010.0,Ryan,75,8475793,0,1,Johansen,Ryan Johansen,CAN,C,R,NSH,218,11,15,1.0,0,4,20182019,0,0,26.0,0.0666,30,1162.2
4,0.0,1,15,10,0,6,Ostervala,SWE,1994-08-13,,11.0,1.0,2012.0,Filip,73,8476887,0,1,Forsberg,Filip Forsberg,SWE,L,R,NSH,205,12,14,0.9333,3,3,20182019,0,0,26.3333,0.2,50,1150.4666
6,0.625,1,15,8,0,0,Repentigny,CAN,1982-11-30,QC,55.0,2.0,2001.0,Jason,71,8469506,0,1,Pominville,Jason Pominville,USA,R,R,BUF,180,7,14,0.9333,1,2,20182019,0,0,18.2666,0.1951,41,822.5333
9,0.5,0,14,5,0,4,Tver,RUS,1983-04-15,,1.0,1.0,2001.0,Ilya,75,8469454,0,1,Kovalchuk,Ilya Kovalchuk,RUS,L,R,LAK,230,-6,14,1.0,1,6,20182019,0,0,22.2857,0.147,34,1136.0
9,0.5337,0,14,5,0,4,Praha,CZE,1993-11-12,,17.0,1.0,2012.0,Tomas,74,8476881,0,1,Hertl,Tomas Hertl,CZE,C,L,SJS,215,-2,14,1.0,2,2,20182019,1,2,23.4285,0.1388,36,1098.9285
11,0.5533,1,15,3,0,4,Brampton,CAN,1992-01-31,ON,2.0,1.0,2010.0,Tyler,73,8475794,0,1,Seguin,Tyler Seguin,CAN,C,R,DAL,200,4,14,0.9333,1,5,20182019,0,0,27.5333,0.0422,71,1279.6
12,0.488,0,15,2,0,8,Keswick,CAN,1994-07-01,ON,55.0,2.0,2012.0,Chris,73,8476919,0,1,Tierney,Chris Tierney,CAN,C,L,OTT,195,2,14,0.9333,0,4,20182019,0,0,23.8666,0.0714,28,1119.8
5,0.5787,1,15,8,1,6,Winnipeg,CAN,1988-04-29,MB,3.0,1.0,2006.0,Jonathan,74,8473604,0,1,Toews,Jonathan Toews,CAN,C,L,CHI,201,3,13,0.8666,2,2,20182019,0,0,24.1333,0.1739,46,1167.8666
5,0.4473,3,14,8,0,4,Everett,USA,1986-12-23,WA,24.0,1.0,2005.0,T.J.,71,8471698,0,1,Oshie,T.J. Oshie,USA,R,R,WSH,195,6,13,0.9285,1,3,20182019,0,0,22.2857,0.258,31,1145.6428
7,0.0,0,11,6,0,2,Chelyabinsk,RUS,1989-03-12,,71.0,3.0,2007.0,Evgenii,71,8474149,0,1,Dadonov,Evgenii Dadonov,RUS,R,L,FLA,185,1,13,1.1818,2,5,20182019,0,0,24.8181,0.1714,35,1196.5454
